Series;Time;Value
TB Bond Vibration;2021-05-24T12:07:52+02:00;0.0268110625
TB Bond Vibration;2021-05-24T12:07:53+02:00;0.02695305
TB Bond Vibration;2021-05-24T12:07:54+02:00;0.026755325000000003
TB Bond Vibration;2021-05-24T12:07:55+02:00;0.026726137500000004
TB Bond Vibration;2021-05-24T12:07:56+02:00;0.0268429125
TB Bond Vibration;2021-05-24T12:07:57+02:00;0.026841587500000003
TB Bond Vibration;2021-05-24T12:07:58+02:00;0.0268402625
TB Bond Vibration;2021-05-24T12:07:59+02:00;0.0268429125
TB Bond Vibration;2021-05-24T12:08:00+02:00;0.0268747625
TB Bond Vibration;2021-05-24T12:08:01+02:00;0.0267792125
TB Bond Vibration;2021-05-24T12:08:02+02:00;0.026736749999999997
TB Bond Vibration;2021-05-24T12:08:03+02:00;0.02684955
TB Bond Vibration;2021-05-24T12:08:04+02:00;0.026991537500000003
TB Bond Vibration;2021-05-24T12:08:05+02:00;0.026909262499999996
TB Bond Vibration;2021-05-24T12:08:06+02:00;0.026832299999999996
TB Bond Vibration;2021-05-24T12:08:07+02:00;0.026757975
TB Bond Vibration;2021-05-24T12:08:08+02:00;0.026765937499999996
TB Bond Vibration;2021-05-24T12:08:09+02:00;0.026754
TB Bond Vibration;2021-05-24T12:08:10+02:00;0.026718175
TB Bond Vibration;2021-05-24T12:08:11+02:00;0.026821675
TB Bond Vibration;2021-05-24T12:08:12+02:00;0.026833625
TB Bond Vibration;2021-05-24T12:08:13+02:00;0.026922525000000003
TB Bond Vibration;2021-05-24T12:08:14+02:00;0.026880062500000003
TB Bond Vibration;2021-05-24T12:08:15+02:00;0.026588125
TB Bond Vibration;2021-05-24T12:08:16+02:00;0.02688405
TB Bond Vibration;2021-05-24T12:08:17+02:00;0.026642525
TB Bond Vibration;2021-05-24T12:08:18+02:00;0.026880062500000003
TB Bond Vibration;2021-05-24T12:08:19+02:00;0.026858824999999996
TB Bond Vibration;2021-05-24T12:08:20+02:00;0.0270034875
TB Bond Vibration;2021-05-24T12:08:21+02:00;0.026919875
TB Bond Vibration;2021-05-24T12:08:22+02:00;0.0265814875
TB Bond Vibration;2021-05-24T12:08:23+02:00;0.026755325000000003
TB Bond Vibration;2021-05-24T12:08:24+02:00;0.026845562499999996
TB Bond Vibration;2021-05-24T12:08:25+02:00;0.0267341
TB Bond Vibration;2021-05-24T12:08:26+02:00;0.026738075
TB Bond Vibration;2021-05-24T12:08:27+02:00;0.026714187499999997
TB Bond Vibration;2021-05-24T12:08:28+02:00;0.0267128625
TB Bond Vibration;2021-05-24T12:08:29+02:00;0.0268123875
TB Bond Vibration;2021-05-24T12:08:30+02:00;0.026833625
TB Bond Vibration;2021-05-24T12:08:31+02:00;0.0267433875
TB Bond Vibration;2021-05-24T12:08:32+02:00;0.026720824999999997
TB Bond Vibration;2021-05-24T12:08:33+02:00;0.026703575
TB Bond Vibration;2021-05-24T12:08:34+02:00;0.0268787375
TB Bond Vibration;2021-05-24T12:08:35+02:00;0.0267606375
TB Bond Vibration;2021-05-24T12:08:36+02:00;0.026757975
TB Bond Vibration;2021-05-24T12:08:37+02:00;0.026752674999999997
TB Bond Vibration;2021-05-24T12:08:38+02:00;0.0268747625
TB Bond Vibration;2021-05-24T12:08:39+02:00;0.026593424999999997
TB Bond Vibration;2021-05-24T12:08:40+02:00;0.026755325000000003
TB Bond Vibration;2021-05-24T12:08:41+02:00;0.0265974125
TB Bond Vibration;2021-05-24T12:08:42+02:00;0.026861487499999996
TB Bond Vibration;2021-05-24T12:08:43+02:00;0.026653149999999997
TB Bond Vibration;2021-05-24T12:08:44+02:00;0.02682565
TB Bond Vibration;2021-05-24T12:08:45+02:00;0.026755325000000003
TB Bond Vibration;2021-05-24T12:08:46+02:00;0.026654475
TB Bond Vibration;2021-05-24T12:08:47+02:00;0.0266133375
TB Bond Vibration;2021-05-24T12:08:48+02:00;0.026909262499999996
TB Bond Vibration;2021-05-24T12:08:49+02:00;0.026888025
TB Bond Vibration;2021-05-24T12:08:50+02:00;0.026605374999999997
TB Bond Vibration;2021-05-24T12:08:51+02:00;0.026706225
TB Bond Vibration;2021-05-24T12:08:52+02:00;0.0266929625
TB Bond Vibration;2021-05-24T12:08:53+02:00;0.0267128625
TB Bond Vibration;2021-05-24T12:08:54+02:00;0.0269304875
TB Bond Vibration;2021-05-24T12:08:55+02:00;0.026732774999999997
TB Bond Vibration;2021-05-24T12:08:56+02:00;0.026838925000000003
TB Bond Vibration;2021-05-24T12:08:57+02:00;0.026710212500000004
TB Bond Vibration;2021-05-24T12:08:58+02:00;0.026700924999999997
TB Bond Vibration;2021-05-24T12:08:59+02:00;0.026789825
TB Bond Vibration;2021-05-24T12:09:00+02:00;0.026861487499999996
TB Bond Vibration;2021-05-24T12:09:01+02:00;0.026772575
TB Bond Vibration;2021-05-24T12:09:02+02:00;0.0267314375
TB Bond Vibration;2021-05-24T12:09:03+02:00;0.02682565
TB Bond Vibration;2021-05-24T12:09:04+02:00;0.026880062500000003
TB Bond Vibration;2021-05-24T12:09:05+02:00;0.0268628125
TB Bond Vibration;2021-05-24T12:09:06+02:00;0.026801775
TB Bond Vibration;2021-05-24T12:09:07+02:00;0.026864149999999996
TB Bond Vibration;2021-05-24T12:09:08+02:00;0.0266956125
TB Bond Vibration;2021-05-24T12:09:09+02:00;0.0268110625
TB Bond Vibration;2021-05-24T12:09:10+02:00;0.026678362500000004
TB Bond Vibration;2021-05-24T12:09:11+02:00;0.0267646125
TB Bond Vibration;2021-05-24T12:09:12+02:00;0.02682565
TB Bond Vibration;2021-05-24T12:09:13+02:00;0.026675712499999997
TB Bond Vibration;2021-05-24T12:09:14+02:00;0.026726137500000004
TB Bond Vibration;2021-05-24T12:09:15+02:00;0.026608025
TB Bond Vibration;2021-05-24T12:09:16+02:00;0.026545649999999997
TB Bond Vibration;2021-05-24T12:09:17+02:00;0.026673049999999997
TB Bond Vibration;2021-05-24T12:09:18+02:00;0.026829637499999996
TB Bond Vibration;2021-05-24T12:09:19+02:00;0.0269013
TB Bond Vibration;2021-05-24T12:09:20+02:00;0.026870775000000003
TB Bond Vibration;2021-05-24T12:09:21+02:00;0.0265231
TB Bond Vibration;2021-05-24T12:09:22+02:00;0.0268760875
TB Bond Vibration;2021-05-24T12:09:23+02:00;0.026995512500000002
TB Bond Vibration;2021-05-24T12:09:24+02:00;0.026832299999999996
TB Bond Vibration;2021-05-24T12:09:25+02:00;0.026819025000000003
TB Bond Vibration;2021-05-24T12:09:26+02:00;0.0268243375
TB Bond Vibration;2021-05-24T12:09:27+02:00;0.026750025
TB Bond Vibration;2021-05-24T12:09:28+02:00;0.0269079375
TB Bond Vibration;2021-05-24T12:09:29+02:00;0.02690395
TB Bond Vibration;2021-05-24T12:09:30+02:00;0.0270260375
TB Bond Vibration;2021-05-24T12:09:31+02:00;0.02681505
TB Bond Vibration;2021-05-24T12:09:32+02:00;0.026718175
TB Bond Vibration;2021-05-24T12:09:33+02:00;0.026833625
TB Bond Vibration;2021-05-24T12:09:34+02:00;0.02666775
TB Bond Vibration;2021-05-24T12:09:35+02:00;0.026833625
TB Bond Vibration;2021-05-24T12:09:36+02:00;0.02682565
TB Bond Vibration;2021-05-24T12:09:37+02:00;0.026803100000000003
TB Bond Vibration;2021-05-24T12:09:38+02:00;0.02655495
TB Bond Vibration;2021-05-24T12:09:39+02:00;0.0267447125
TB Bond Vibration;2021-05-24T12:09:40+02:00;0.0267739
TB Bond Vibration;2021-05-24T12:09:41+02:00;0.026691625000000004
TB Bond Vibration;2021-05-24T12:09:42+02:00;0.026927837500000003
