sep=;
"Series";"Time";"Value"
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.081922
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.082336
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.080801
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.081439
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.081508
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.080819
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.080878
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.081739
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.081966
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.08223
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.082902
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083079
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083373
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083187
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.0834
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083917
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.084319
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.084257
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.084523
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.0842
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083847
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083106
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083388
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.081386
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.080794
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.079723
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.080478
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.081429
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.081503
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.082677
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083339
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.084868
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.085326
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.085005
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.085324
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.084553
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.083652
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.082539
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.082972
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.08298
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.082716
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.081777
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.081945
"TD FFT Band 0";"2021-05-24T12:08:00+02:00";0.081728
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.081875
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.082233
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.081883
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.081858
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.081951
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.082242
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.082702
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.082785
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.083421
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.082739
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.082309
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.082344
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.082487
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.082093
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.083595
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.083483
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.084164
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.08395
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.083295
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.082645
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.084111
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.085652
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086453
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.087171
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086073
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.084897
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.084128
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.084038
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.0841
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.084574
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.083886
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.084543
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.084566
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.083479
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.084379
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.085006
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086543
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086232
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086336
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.085873
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.085583
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086333
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086026
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086444
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086722
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.087226
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.085715
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.085243
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.084601
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.085829
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.085446
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086419
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086787
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.08585
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086137
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.086236
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.085722
"TD FFT Band 0";"2021-05-24T12:09:00+02:00";0.085355
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084976
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084511
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084066
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084197
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.083871
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084638
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.083867
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.083951
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084215
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084616
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084718
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084167
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085127
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084729
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.083788
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084137
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084534
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084143
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084156
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084699
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084807
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085389
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085886
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085744
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.086449
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.086092
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.086645
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.086843
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.086313
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.086598
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.087081
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.087139
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.087224
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085739
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085512
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.086099
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.086072
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.086439
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.086404
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085304
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085889
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085864
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084151
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085399
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085336
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085619
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085033
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084321
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.083261
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.083837
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.08493
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084898
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085047
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.08502
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084173
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.085085
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.083506
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.08385
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.084198
"TD FFT Band 0";"2021-05-24T12:10:00+02:00";0.083994
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083212
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083398
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083051
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.082715
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083499
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.08381
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.082764
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.082952
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.082749
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.08258
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.082784
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083872
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.083023
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.082544
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.082394
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.08315
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.084236
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.084059
"TD FFT Band 0";"2021-05-24T12:11:00+02:00";0.08412
